iter	Passed	Remaining
0	1	1165
1	2	1063
2	3	1041
3	4	1046
4	5	1040
5	6	1048
6	7	1041
7	8	1033
8	9	1019
9	10	1023
10	11	1018
11	12	1024
12	13	1021
13	14	1022
14	15	1024
15	16	1019
16	17	1016
17	18	1015
18	19	1017
19	20	1013
20	21	1021
21	22	1018
22	23	1019
23	24	1014
24	26	1015
25	27	1013
26	28	1009
27	29	1009
28	30	1008
29	31	1008
30	32	1005
31	33	1005
32	34	1001
33	35	997
34	36	994
35	37	992
36	38	989
37	39	988
38	40	989
39	41	988
40	42	986
41	43	985
42	44	982
43	45	983
44	46	981
45	47	981
46	48	979
47	49	977
48	50	978
49	51	977
50	52	975
51	53	974
52	54	972
53	55	970
54	56	968
55	57	967
56	58	966
57	59	964
58	60	961
59	61	960
60	62	960
61	63	959
62	64	958
63	65	957
64	66	955
65	67	954
66	68	953
67	69	954
68	70	954
69	72	956
70	73	958
71	74	956
72	75	957
73	76	961
74	78	962
75	79	961
76	80	966
77	81	967
78	82	965
79	83	963
80	85	970
81	86	968
82	87	967
83	88	965
84	89	965
85	90	963
86	91	961
87	92	960
88	93	960
89	94	957
90	95	957
91	96	955
92	97	955
93	98	954
94	100	954
95	101	952
96	102	954
97	103	952
98	104	951
99	105	949
100	106	949
101	107	947
102	108	946
103	109	944
104	110	943
105	111	942
106	112	940
107	113	939
108	114	937
109	115	935
110	116	935
111	117	934
112	118	933
113	119	931
114	120	931
115	122	929
116	123	928
117	123	926
118	125	925
119	126	924
120	127	923
121	128	921
122	129	920
123	130	919
124	131	918
125	132	916
126	133	915
127	134	914
128	135	913
129	136	912
130	137	911
131	138	910
132	139	908
133	140	907
134	141	906
135	142	905
136	143	904
137	144	903
138	145	903
139	146	902
140	148	902
141	149	901
142	150	900
143	151	900
144	152	900
145	153	899
146	154	899
147	156	898
148	157	899
149	158	899
150	159	899
151	161	898
152	162	897
153	163	897
154	164	896
155	165	896
156	166	895
157	167	894
158	168	893
159	170	892
160	171	892
161	172	891
162	173	890
163	174	889
164	175	888
165	176	887
166	177	886
167	178	885
168	179	884
169	180	883
170	181	881
171	182	880
172	183	878
173	184	877
174	185	876
175	187	875
176	188	874
177	189	872
178	190	872
179	191	870
180	192	869
181	193	868
182	194	866
183	195	865
184	196	864
185	197	865
186	198	864
187	200	863
188	202	868
189	204	870
190	205	871
191	206	870
192	208	869
193	209	869
194	210	868
195	211	868
196	212	867
197	214	867
198	215	867
199	216	866
200	218	867
201	219	867
202	220	867
203	222	868
204	223	868
205	225	867
206	226	866
207	227	865
208	228	865
209	229	864
210	230	863
211	232	863
212	233	862
213	234	862
214	236	862
215	237	862
216	238	862
217	240	861
218	241	861
219	242	860
220	244	860
221	245	859
222	246	860
223	248	860
224	249	860
225	251	860
226	252	861
227	254	861
228	255	861
229	257	860
230	258	860
231	259	859
232	260	858
233	262	858
234	263	858
235	265	859
236	266	858
237	268	858
238	269	857
239	270	857
240	272	857
241	273	857
242	274	856
243	276	855
244	277	854
245	278	853
246	279	853
247	281	852
248	282	852
249	284	852
250	285	852
251	287	852
252	288	851
253	289	849
254	290	848
255	291	847
256	292	846
257	293	845
258	294	843
259	296	842
260	297	841
261	298	839
262	299	838
263	300	837
264	301	836
265	302	835
266	303	834
267	305	833
268	306	832
269	307	830
270	308	829
271	309	828
272	310	827
273	311	826
274	313	825
275	314	823
276	315	822
277	316	821
278	317	820
279	318	819
280	319	817
281	320	816
282	321	815
283	323	814
284	324	813
285	325	812
286	326	811
287	327	810
288	329	809
289	330	808
290	331	807
291	332	806
292	333	804
293	334	803
294	335	802
295	337	801
296	338	800
297	339	799
298	340	797
299	341	796
300	342	795
301	343	794
302	344	793
303	346	792
304	347	791
305	348	791
306	350	790
307	351	790
308	353	789
309	354	788
310	355	787
311	356	786
312	357	785
313	358	784
314	360	782
315	361	781
316	362	780
317	363	779
318	364	778
319	365	777
320	367	776
321	368	775
322	369	775
323	371	774
324	372	773
325	373	772
326	374	770
327	375	769
328	376	768
329	378	767
330	379	766
331	380	765
332	381	764
333	382	762
334	383	761
335	384	760
336	386	759
337	387	758
338	388	757
339	389	756
340	390	755
341	391	754
342	392	752
343	394	751
344	395	750
345	396	748
346	397	747
347	398	746
348	399	745
349	400	744
350	402	743
351	403	742
352	404	741
353	406	741
354	407	740
355	408	739
356	409	738
357	410	737
358	412	735
359	413	734
360	414	733
361	415	732
362	416	731
363	418	730
364	419	729
365	420	728
366	421	727
367	422	725
368	423	724
369	424	723
370	426	722
371	427	721
372	428	719
373	429	718
374	430	717
375	431	716
376	432	715
377	433	713
378	434	712
379	436	711
380	437	710
381	438	708
382	439	707
383	440	706
384	441	705
385	442	704
386	443	703
387	445	701
388	446	701
389	447	700
390	448	699
391	450	698
392	451	696
393	452	695
394	453	694
395	454	693
396	455	692
397	457	691
398	458	689
399	459	688
400	460	687
401	461	687
402	463	686
403	464	685
404	465	684
405	467	683
406	468	682
407	469	681
408	471	680
409	472	679
410	473	678
411	474	677
412	475	675
413	476	674
414	477	673
415	479	672
416	480	671
417	481	670
418	482	669
419	483	667
420	484	666
421	485	665
422	487	664
423	488	663
424	489	662
425	490	661
426	491	659
427	492	658
428	494	657
429	495	656
430	496	655
431	497	654
432	498	652
433	499	651
434	500	650
435	501	649
436	502	648
437	504	646
438	505	645
439	506	644
440	507	643
441	508	642
442	509	641
443	511	639
444	512	638
445	513	637
446	514	636
447	515	635
448	516	633
449	517	632
450	518	631
451	519	630
452	521	629
453	522	628
454	523	627
455	525	626
456	526	625
457	528	625
458	529	624
459	530	623
460	532	622
461	533	621
462	534	620
463	536	619
464	537	618
465	538	617
466	539	615
467	540	614
468	541	613
469	542	612
470	544	611
471	545	609
472	546	608
473	547	607
474	549	607
475	550	606
476	551	605
477	553	604
478	554	602
479	555	601
480	556	600
481	557	599
482	558	598
483	560	597
484	561	595
485	562	594
486	563	593
487	564	592
488	566	591
489	567	590
490	568	589
491	569	588
492	571	587
493	572	586
494	573	585
495	574	583
496	575	582
497	576	581
498	577	580
499	578	578
500	580	577
501	581	576
502	582	575
503	583	573
504	584	572
505	585	571
506	586	570
507	587	569
508	588	567
509	589	566
510	590	565
511	591	564
512	593	563
513	594	561
514	595	560
515	596	559
516	597	557
517	598	556
518	599	555
519	600	554
520	601	552
521	602	551
522	603	550
523	604	548
524	605	547
525	606	546
526	607	545
527	608	543
528	609	542
529	610	541
530	611	539
531	612	538
532	613	537
533	614	536
534	615	534
535	616	533
536	617	532
537	618	531
538	619	529
539	620	528
540	621	527
541	622	526
542	623	524
543	624	523
544	625	522
545	626	521
546	627	520
547	629	518
548	630	517
549	631	516
550	632	515
551	633	514
552	634	512
553	635	511
554	637	510
555	638	509
556	639	508
557	640	507
558	641	506
559	642	504
560	643	503
561	644	502
562	645	501
563	646	499
564	647	498
565	648	497
566	649	496
567	650	494
568	651	493
569	652	492
570	654	491
571	655	490
572	656	489
573	658	488
574	659	487
575	660	486
576	661	485
577	662	483
578	664	482
579	665	481
580	666	480
581	667	479
582	668	478
583	669	477
584	670	475
585	672	474
586	673	474
587	675	473
588	676	472
589	677	470
590	678	469
591	680	468
592	681	467
593	682	466
594	683	465
595	684	463
596	685	462
597	686	461
598	687	460
599	689	459
600	690	458
601	691	457
602	692	456
603	693	454
604	694	453
605	696	452
606	697	451
607	698	450
608	699	449
609	700	447
610	701	446
611	702	445
612	703	444
613	705	443
