date,id,store_nbr,item_nbr,unit_sales,onpromotion,perishable,family,city,store_type,cluster,dcoilwtico,type,locale,locale_name,description,transferred,year,month,day,dayofweek,dayofyear,weekofyear,quarter,is_weekend,unit_sales_rolling_mean_7d,unit_sales_rolling_mean_14d,unit_sales_rolling_mean_30d
2014-01-17,17356613,51,1178691,1.9459101490553132,0,0,0,0,0,17,93.96,-1,-1,-1,-1,-1,2014,1,17,4,17,3,1,0,,,
2014-01-06,16628522,32,1464082,0.6931471805599453,0,0,1,0,1,3,93.12,-1,-1,-1,-1,-1,2014,1,6,0,6,2,1,0,,,
2014-03-26,21307289,36,1047772,3.091042453358316,0,0,1,1,2,10,100.61,-1,-1,-1,-1,-1,2014,3,26,2,85,13,1,0,,,
2014-01-14,17144540,36,749421,3.044522437723423,0,0,2,1,2,10,92.15,-1,-1,-1,-1,-1,2014,1,14,1,14,3,1,0,,,
2014-01-02,16358918,28,867850,2.302585092994046,0,0,0,0,2,10,95.14,-1,-1,-1,-1,-1,2014,1,2,3,2,1,1,0,,,
2014-01-31,18221927,26,261052,1.3862943611198906,0,0,2,0,3,10,97.55,-1,-1,-1,-1,-1,2014,1,31,4,31,5,1,0,,,
2014-02-26,19538358,35,153267,0.6931471805599453,0,0,2,2,1,3,102.93,-1,-1,-1,-1,-1,2014,2,26,2,57,9,1,0,,,
2014-01-09,16819872,35,1112840,1.3862943611198906,0,0,0,2,1,3,91.36,-1,-1,-1,-1,-1,2014,1,9,3,9,2,1,0,,,
2014-03-08,20146819,30,165693,1.791759469228055,0,0,2,0,1,3,,-1,-1,-1,-1,-1,2014,3,8,5,67,10,1,1,,,
2014-02-07,18590958,30,257847,3.295836866004329,0,0,1,0,1,3,99.98,-1,-1,-1,-1,-1,2014,2,7,4,38,6,1,0,,,
2014-03-27,21357668,24,1235251,1.3862943611198906,0,0,2,0,3,1,101.25,-1,-1,-1,-1,-1,2014,3,27,3,86,13,1,0,,,
2014-03-18,20781771,24,315220,1.6094379124341003,0,0,2,0,3,1,100.08,-1,-1,-1,-1,-1,2014,3,18,1,77,12,1,0,,,
2014-01-25,17840686,26,1109390,0.6931471805599453,0,0,2,0,3,10,,-1,-1,-1,-1,-1,2014,1,25,5,25,4,1,1,,,
2014-01-14,17143245,34,1464312,2.70805020110221,0,0,1,0,4,6,92.15,-1,-1,-1,-1,-1,2014,1,14,1,14,3,1,0,,,
2014-02-23,19384804,26,568133,0.6931471805599453,0,0,1,0,3,10,,-1,-1,-1,-1,-1,2014,2,23,6,54,8,1,1,,,
2014-02-19,19186760,24,1037856,2.833213344056216,0,0,1,0,3,1,103.46,-1,-1,-1,-1,-1,2014,2,19,2,50,8,1,0,,,
2014-01-14,17143473,35,364413,0.6931471805599453,0,0,0,2,1,3,92.15,-1,-1,-1,-1,-1,2014,1,14,1,14,3,1,0,,,
2014-03-29,21492201,30,692531,3.4657359027997265,0,0,2,0,1,3,,-1,-1,-1,-1,-1,2014,3,29,5,88,13,1,1,,,
2014-03-02,19752443,24,522941,1.6094379124341003,0,0,2,0,3,1,,0,0,0,0,0,2014,3,2,6,61,9,1,1,,,
2014-02-12,18840481,26,645294,0.6931471805599453,0,0,2,0,3,10,100.38,-1,-1,-1,-1,-1,2014,2,12,2,43,7,1,0,,,
2014-01-29,18095271,24,507927,1.6094379124341003,0,0,0,0,3,1,97.34,-1,-1,-1,-1,-1,2014,1,29,2,29,5,1,0,,,
2014-03-18,20794843,36,759698,2.0794415416798357,0,0,1,1,2,10,100.08,-1,-1,-1,-1,-1,2014,3,18,1,77,12,1,0,,,
2014-02-04,18440512,27,355090,0.6931471805599453,0,0,2,3,3,1,97.24,-1,-1,-1,-1,-1,2014,2,4,1,35,6,1,0,,,
2014-01-10,16904089,51,115891,2.1972245773362196,0,0,2,0,0,17,92.39,-1,-1,-1,-1,-1,2014,1,10,4,10,2,1,0,,,
2014-03-18,20794587,36,372924,0.6931471805599453,0,0,2,1,2,10,100.08,-1,-1,-1,-1,-1,2014,3,18,1,77,12,1,0,,,
2014-03-18,20790627,32,580929,1.0986122886681098,0,0,2,0,1,3,100.08,-1,-1,-1,-1,-1,2014,3,18,1,77,12,1,0,,,
2014-03-14,20533206,36,215356,1.0986122886681098,0,0,2,1,2,10,99.23,-1,-1,-1,-1,-1,2014,3,14,4,73,11,1,0,,,
2014-02-12,18838429,24,464339,2.1972245773362196,0,0,2,0,3,1,100.38,-1,-1,-1,-1,-1,2014,2,12,2,43,7,1,0,,,
2014-01-03,16419100,24,324206,0.6931471805599453,0,0,0,0,3,1,93.66,-1,-1,-1,-1,-1,2014,1,3,4,3,1,1,0,,,
2014-01-13,17069182,24,119624,1.791759469228055,0,0,1,0,3,1,91.45,-1,-1,-1,-1,-1,2014,1,13,0,13,3,1,0,,,
2014-01-27,18004601,51,279137,1.9459101490553132,0,0,2,0,0,17,95.82,-1,-1,-1,-1,-1,2014,1,27,0,27,5,1,0,,,
2014-03-09,20210748,27,365140,1.0986122886681098,0,0,2,3,3,1,,-1,-1,-1,-1,-1,2014,3,9,6,68,10,1,1,,,
2014-02-20,19242347,34,841612,0.6931471805599453,0,0,0,0,4,6,103.2,-1,-1,-1,-1,-1,2014,2,20,3,51,8,1,0,,,
2014-01-29,18098144,26,913521,1.0986122886681098,0,0,0,0,3,10,97.34,-1,-1,-1,-1,-1,2014,1,29,2,29,5,1,0,,,
2014-03-10,20277090,27,1463888,1.3862943611198906,0,0,1,3,3,1,101.39,-1,-1,-1,-1,-1,2014,3,10,0,69,11,1,0,,,
2014-02-08,18665958,51,570917,1.3862943611198906,0,0,2,0,0,17,,-1,-1,-1,-1,-1,2014,2,8,5,39,6,1,1,,,
2014-01-29,18106009,34,1246785,2.70805020110221,0,0,2,0,4,6,97.34,-1,-1,-1,-1,-1,2014,1,29,2,29,5,1,0,,,
2014-03-29,21489755,27,999547,2.0794415416798357,0,0,0,3,3,1,,-1,-1,-1,-1,-1,2014,3,29,5,88,13,1,1,,,
2014-03-06,20046296,51,1143685,2.833213344056216,0,0,1,0,0,17,101.82,-1,-1,-1,-1,-1,2014,3,6,3,65,10,1,0,,,
2014-03-14,20531061,34,129297,1.3862943611198906,0,0,2,0,4,6,99.23,-1,-1,-1,-1,-1,2014,3,14,4,73,11,1,0,,,
2014-02-17,19097884,35,410257,0.6931471805599453,0,0,2,2,1,3,100.31,-1,-1,-1,-1,-1,2014,2,17,0,48,8,1,0,,,
2014-03-15,20597585,34,1463783,1.3862943611198906,0,0,1,0,4,6,,-1,-1,-1,-1,-1,2014,3,15,5,74,11,1,1,,,
2014-01-11,16940429,27,1047681,2.995732273553991,0,0,1,3,3,1,,-1,-1,-1,-1,-1,2014,1,11,5,11,2,1,1,,,
2014-01-18,17425119,51,1047703,0.6931471805599453,0,0,1,0,0,17,,-1,-1,-1,-1,-1,2014,1,18,5,18,3,1,1,,,
2014-03-06,20019419,32,999547,1.0986122886681098,0,0,0,0,1,3,101.82,-1,-1,-1,-1,-1,2014,3,6,3,65,10,1,0,,,
2014-03-07,20077713,26,668754,0.6931471805599453,0,0,0,0,3,10,102.82,-1,-1,-1,-1,-1,2014,3,7,4,66,10,1,0,,,
2014-01-26,17916810,34,1160882,1.0986122886681098,0,0,2,0,4,6,,-1,-1,-1,-1,-1,2014,1,26,6,26,4,1,1,,,
2014-02-08,18665936,51,559680,2.302585092994046,0,0,2,0,0,17,,-1,-1,-1,-1,-1,2014,2,8,5,39,6,1,1,,,
2014-03-25,21236686,28,174081,1.791759469228055,0,0,1,0,2,10,99.66,-1,-1,-1,-1,-1,2014,3,25,1,84,13,1,0,,,
2014-03-23,21107814,27,936341,1.6094379124341003,0,0,2,3,3,1,,-1,-1,-1,-1,-1,2014,3,23,6,82,12,1,1,,,
