user_id,age,gender,has_children,married,days_since_signup,total_trips,booking_lead_time_days,trip_duration_days,total_spend,session_duration_seconds,page_clicks,total_sessions,total_cancellations,cancellation_rate,conversion_rate,Cluster_M
23557,66,female,False,True,1535,2,,,3054.12,76.625,82,8,0,0.0,0.25,0
94883,53,female,False,True,1335,2,6.5,1.5,3154.68,67.75,73,8,0,0.0,0.25,0
101486,52,female,True,True,1325,2,9.0,4.0,2862.265,122.25,131,8,0,0.0,0.25,0
101961,45,female,False,True,1325,5,5.6,4.8,2387.955,117.75,126,8,0,0.0,0.625,3
106907,46,female,True,True,1318,1,198.5,13.0,30094.71,758.915066125,240,8,1,0.125,0.125,1
118043,53,female,True,False,1304,5,8.666666666666666,4.666666666666667,4248.115,153.125,164,8,0,0.0,0.625,3
120851,53,female,True,True,1301,1,7.0,12.0,3057.035,51.75,55,8,0,0.0,0.125,0
125845,41,female,False,True,1295,3,8.333333333333334,3.3333333333333335,4043.91,131.77777777777777,159,9,0,0.0,0.3333333333333333,3
133058,20,female,False,False,1287,1,6.0,4.0,3095.865,68.125,73,8,0,0.0,0.125,2
149058,52,female,True,False,1269,5,5.8,6.6,3073.955,131.75,142,8,0,0.0,0.625,3
152583,39,female,False,False,1266,1,8.0,5.0,3040.185,139.0,149,8,0,0.0,0.125,2
153982,47,female,True,False,1264,3,8.666666666666666,2.6666666666666665,2565.6949999999997,138.5,150,8,0,0.0,0.375,3
160754,47,female,True,True,1257,1,11.0,4.0,2765.975,80.875,86,8,0,0.0,0.125,0
164522,49,female,False,True,1253,1,8.0,15.0,3000.6749999999997,83.375,89,8,0,0.0,0.125,0
167852,19,female,False,False,1250,0,,,3054.12,58.0,63,8,0,0.0,0.0,2
171470,26,female,False,False,1247,2,181.0,14.333333333333334,12946.895,1842.5,446,8,2,0.25,0.25,1
174997,33,female,False,False,1243,3,9.0,5.0,5135.315,991.75,252,8,1,0.125,0.375,4
175032,30,female,False,False,1243,3,5.5,3.5,3781.605,104.33333333333333,127,9,0,0.0,0.3333333333333333,2
181157,55,female,False,True,1238,3,5.333333333333333,4.666666666666667,2948.255,141.125,153,8,0,0.0,0.375,3
182191,21,female,True,False,1237,1,18.0,16.0,3210.0249999999996,665.787969,148,8,1,0.125,0.125,1
187212,56,female,True,True,1232,3,8.0,3.3333333333333335,3151.395,118.75,128,8,0,0.0,0.375,0
189676,37,female,True,False,1230,2,4.0,6.0,3916.665,86.375,93,8,0,0.0,0.25,2
190866,39,female,False,False,1229,5,7.2,3.2,3608.06,153.88888888888889,186,9,0,0.0,0.5555555555555556,3
195192,30,female,False,False,1225,1,15.0,3.0,3066.645,208.375,225,8,0,0.0,0.125,2
204943,42,male,False,False,1216,6,55.714285714285715,8.285714285714286,3713.525,1043.5,292,8,1,0.125,0.75,4
204997,40,female,False,True,1216,4,14.0,6.6,6100.925,1399.1779502499999,439,8,2,0.25,0.5,4
205044,42,female,True,True,1216,3,6.0,5.666666666666667,5038.94,110.33333333333333,134,9,0,0.0,0.3333333333333333,0
206011,41,female,True,False,1215,4,5.5,3.25,2573.65,146.125,156,8,0,0.0,0.5,3
216796,24,female,False,False,1206,1,194.5,11.0,7292.33,491.328442,125,8,1,0.125,0.125,1
217114,21,o,True,True,1205,0,,,3435.8849999999998,49.888888888888886,59,9,0,0.0,0.0,2
217136,40,female,True,False,1205,2,7.0,3.0,3211.925,99.375,106,8,0,0.0,0.25,2
220725,42,female,False,False,1202,4,5.0,5.8,3949.98,948.8888888888889,316,9,1,0.1111111111111111,0.4444444444444444,4
224996,44,female,True,False,1199,2,8.0,2.5,3188.2,94.625,102,8,0,0.0,0.25,2
226367,44,female,False,False,1197,3,7.0,3.0,2798.035,105.5,114,8,0,0.0,0.375,3
228195,28,female,True,False,1196,0,,,3435.8849999999998,95.77777777777777,116,9,0,0.0,0.0,2
228872,36,male,False,False,1195,2,5.0,6.0,3181.565,118.0,126,8,0,0.0,0.25,2
229009,19,female,False,False,1195,3,164.75,9.25,6035.950000000001,264.78542925,144,8,1,0.125,0.375,1
229108,27,female,False,False,1195,1,148.0,7.0,3167.81,1012.25,321,8,1,0.125,0.125,4
229330,48,female,False,True,1195,4,7.25,3.5,3075.17,119.625,129,8,0,0.0,0.5,3
232647,19,female,False,False,1192,2,7.0,3.0,2909.455,93.875,100,8,0,0.0,0.25,2
249521,61,female,True,True,1177,2,8.0,3.0,3314.375,140.625,151,8,0,0.0,0.25,0
252835,39,female,True,False,1174,5,7.4,4.2,2821.845,108.25,117,8,0,0.0,0.625,3
258451,24,female,False,False,1170,1,,,3054.12,219.875,167,8,1,0.125,0.125,4
264470,46,female,True,False,1165,2,8.0,5.5,3163.6099999999997,111.0,118,8,0,0.0,0.25,2
276512,43,female,True,True,1155,1,10.0,3.0,3068.045,91.375,98,8,0,0.0,0.125,0
281952,38,female,False,False,1150,2,7.0,2.0,2975.31,146.375,158,8,0,0.0,0.25,2
283325,52,female,False,True,1149,2,5.0,6.0,3125.625,105.625,114,8,0,0.0,0.25,0
290123,42,female,False,True,1143,7,6.142857142857143,2.6666666666666665,5559.639999999999,155.88888888888889,190,9,0,0.0,0.7777777777777778,3
297546,52,female,False,True,1137,5,5.0,4.75,3187.7799999999997,192.875,207,8,0,0.0,0.625,3
298253,48,female,True,True,1137,1,6.0,2.0,3384.7749999999996,91.75,98,8,0,0.0,0.125,0
299476,40,female,False,True,1136,1,7.0,3.0,3246.5,154.11111111111111,187,9,0,0.0,0.1111111111111111,0
306165,22,female,False,False,1130,0,,,3054.12,82.5,89,8,0,0.0,0.0,2
